replicate,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
0,2.640041670687088,3.5342636992446708,0.01278411524567069,255.85049850735984,0.005093113376623548,237.63025294229962,0.009437925229118016,232.92763034986868,0.01278411524567069,303.63254590986526,0.00424900799194905
1,2.655945534240339,3.691087755083225,0.0030736038259523424,272.61799259925357,0.0021952771056898968,240.92409277084127,0.0030736038259523424,236.64216057033465,0.002762718958654875,263.9769457718964,0.0023362119434503503
2,2.6535151277083147,3.362601840573865,0.007793936452535122,263.1010065434705,0.007793936452535122,241.2589971512858,0.006881216358699316,241.12625745591362,0.003786481274102138,304.83401728836577,0.007309396251128475
3,2.6625141375806125,3.7386147044439055,0.013225105611260224,264.38044906517325,0.00227674929025945,246.0077952564339,0.004857421325273226,232.46526228584653,0.013225105611260224,258.24365351019804,0.006263980011101622
4,2.663809696053489,3.3337822526290104,0.004113127931452465,259.89517086300935,0.001024261049094477,251.74380101387388,0.0010718326508084575,246.44855719873627,0.004113127931452465,268.52450920441436,0.002512633474815895
5,2.642816845464246,3.502538912443348,0.005982131269311131,261.6001293781985,0.00362349434423781,230.4886896901595,0.0044162960801849005,225.57014148788147,0.0038026079755595354,285.90225973029413,0.005982131269311131
6,2.645148745440066,3.5445500896227222,0.010346790189997512,272.5597921645659,0.003117113584609199,244.1361799490219,0.005108040008276804,216.81060198773386,0.010346790189997512,260.3073237086372,0.009382136210540015
7,2.639643152159823,3.3387201080807976,0.015242787304216021,259.070256271718,0.006034783038285307,251.43503587147646,0.007824025006536672,221.54817855191882,0.007982723577712791,302.6738038461907,0.015242787304216021
8,2.633822426690298,3.2828242519253843,0.004904738623878302,259.67497909342626,0.0031000883209304497,254.23400565720317,0.0038316896647304644,226.4569967731074,0.004904738623878302,282.2718422851488,0.0017875516039721484
9,2.659632399778398,3.2257431890668284,0.007738354369444589,262.768156940422,0.003477260783140479,253.17664494122954,0.0037247926427531053,228.6999393482709,0.005443144554773016,314.2695174811446,0.007738354369444589
10,2.6728284189220153,3.6871495879271805,0.0027028849966388435,273.906282660687,0.00238428667941315,232.5917562130257,0.0026780482372549264,260.22049960436965,0.0027028849966388435,260.50318308231226,0.002476206017513194
11,2.6487817251952643,3.096521182884824,0.010904744054837545,266.42578558236846,0.0033494799701139777,233.68248863280616,0.0073269725000246755,222.49556990639277,0.010904744054837545,280.3708806250232,0.005035941164633684
12,2.6355393974373307,2.8978103340598054,0.0045318171849758615,244.36478027807092,0.004159432014430697,205.8820053823026,0.004321385090758911,254.2297235338857,0.0045318171849758615,288.7593286943417,0.003806826463694346
13,2.6682054319653514,3.4013597693318314,0.017110136469364212,255.00528011656172,0.010014129694941032,248.39308131553932,0.01104100453603929,240.38173287336357,0.0034067416503655856,277.0667964872091,0.017110136469364212
14,2.6613573451030597,3.56506232422652,0.008182851278024872,275.37514039653337,0.005898636932607282,258.83348208973786,0.0064956404926928,264.7071496152179,0.004405632905071122,277.77549930621205,0.008182851278024872
15,2.675587173208304,3.2112685626610156,0.00770891525259787,267.78619804462954,0.005925709821269609,256.55521767067034,0.00397480646180276,237.21364180717492,0.00770891525259787,281.25529852759274,0.002202651101992803
16,2.651593954338438,3.672944281466633,0.007684616456080984,255.65864684251895,0.007684616456080984,246.29925181784867,0.0029525794963335406,249.7756372052453,0.0053581804801821065,246.4001884000959,0.005962595862722853
17,2.661276304005888,3.4472535991209403,0.008411535903727896,269.8783909646882,0.002760755727474029,266.12921166335735,0.008411535903727896,225.47326283641536,0.0020748790943545536,257.3468485987115,0.007809452748431922
18,2.645315076000726,3.3835762264375795,0.006788110608481446,261.923143985702,0.0059580664060918664,236.2631702098212,0.006788110608481446,248.91728289561473,0.0032435183032152315,272.03690303834713,0.0014912413767165789
19,2.6260304432007233,3.4107713161381583,0.009166982431514037,265.7350258660488,0.009166982431514037,255.85496358415384,0.008080346408637307,218.96263357737425,0.005636980797368407,273.7211008356271,0.007039185386490621
20,2.6643296433038417,4.12799426459844,0.0056342601492535005,282.29684484682207,0.0031989276598504424,243.99877544537145,0.004424173855185232,257.19446544915155,0.0056342601492535005,280.8076376601587,0.003863540903841889
21,2.648244238066866,3.3108928067283165,0.004691924584321772,261.8771438687834,0.004691924584321772,246.39542413219738,0.003658269225192856,244.6158390946069,0.004208245570802571,299.1217516481805,0.003843380504456262
22,2.6452127254652793,3.5396739911019615,0.02268055754636278,250.63139475322726,0.004011924506707842,246.5288086118129,0.006448670229735165,233.10723955880582,0.01084221940304575,293.62299486664386,0.02268055754636278
23,2.6574182201468473,3.238638534416873,0.010400145668503225,272.95618096846533,0.010400145668503225,240.49175567013987,0.007419748903681911,238.12591510843743,0.00832410430630759,258.79996504007914,0.0070981017546579706
24,2.6641638576438567,3.88155505218415,0.008593484742631885,288.9176335425173,0.0023981108593192912,252.7802487914472,0.0025197712947172546,239.05707725523138,0.006019196021119222,286.8070104690076,0.008593484742631885
25,2.6223650644539327,3.3802738839733686,0.0164363482028973,249.30910064919914,0.006508837742602025,235.71861389834498,0.015308402321650538,227.3416237185754,0.0164363482028973,275.2932897467591,0.0045811158640960414
26,2.6622298612395268,3.141311826079515,0.007297037544372331,261.1950404921334,0.007297037544372331,254.5362653147875,0.0018023755934591934,243.7826323298064,0.004227454677562581,258.5833402348,0.0050211086597985455
27,2.682911084540457,3.4578910745712874,0.006549960285844314,274.70382800858727,0.006549960285844314,249.48293639190737,0.0044152948543387804,253.277185668612,0.003595166039129072,303.2992541349231,0.003622151831457393
28,2.664192576215113,3.527595832348979,0.004396630023954851,264.8984790097232,0.0014768836616042558,235.69155409209083,0.0034488730746213836,237.86626125295464,0.0019561493027432375,269.30416835390685,0.004396630023954851
29,2.6593697251718345,3.737148000776104,0.010587237404175665,260.09730798121905,0.0065190827691608,239.57811558129885,0.007484623446450178,232.40370964415183,0.00966525309821109,298.15769811429834,0.010587237404175665
30,2.6498984384122695,3.456298925977039,0.012608478596368489,261.39877701637,0.0029147732917218505,218.53921638605743,0.00491541852293248,238.0546570374274,0.006424429464542136,294.4032387116911,0.012608478596368489
31,2.6315330729586237,3.5645365984860367,0.008482894680756692,261.32874549901686,0.004731470020662765,228.28553953851898,0.006227183421574689,251.51333752795193,0.002405541314129178,266.3188604949367,0.008482894680756692
32,2.6443783257573,3.3511640561042046,0.010655186279145079,264.29543361081903,0.003740634392804476,260.3868449551813,0.0035483102714789494,232.43498089636424,0.006908286030455346,299.3900084258361,0.010655186279145079
33,2.626288308439576,3.388899373763798,0.010313227348136667,229.511217152877,0.010313227348136667,244.8381381755431,0.006947124764080215,233.9306283348042,0.008378733800217364,270.3607521106316,0.007517424560962271
34,2.633731628975346,3.1119641616459885,0.00371730311026075,266.7829445162905,0.0026057939853613155,238.50198829049893,0.00371730311026075,218.7759369904599,0.0025128127200719774,296.7041775231818,0.0034546167342770495
35,2.642899207251599,3.381606505941053,0.010803457433193386,245.33243394049168,0.004327223934539881,257.306385861444,0.006587090193305611,235.61345137863285,0.0011482049259676774,260.71584445432245,0.010803457433193386
36,2.6569107578080686,3.6101825015140347,0.009057798923721938,261.33741834974114,0.004828942728723251,228.71916247683862,0.0029553558890998977,240.0446777508489,0.009057798923721938,287.7578369883671,0.007864932392980584
37,2.6596033461505435,3.5127181859141166,0.01269074983329832,264.90814927142867,0.007268148781482964,256.341881245648,0.0032127971598662763,234.49940039667317,0.01269074983329832,285.29394220584913,0.00665187887655172
38,2.685366941732042,3.6101532141396144,0.008196338546777038,256.87345366676857,0.008196338546777038,270.4041050546378,0.005700338850241793,250.71227836552353,0.007889547401099983,280.2437994319573,0.006232642797376231
39,2.6866140255946998,3.365410372521294,0.009669919768371837,289.07859404367974,0.009669919768371837,226.28984978121113,0.006694418312522821,250.75462231198577,0.00877576265879898,299.1816004193547,0.002119354497198911
40,2.684258998012464,3.4760991346370553,0.013560949419261559,280.10297536284986,0.008553388159761033,229.8214079529852,0.013560949419261559,223.45988874524818,0.005452220427194288,282.4545342032846,0.004256625123095825
41,2.6807519762996614,3.556123492011947,0.010552131839391299,290.31430256029995,0.005584284489917768,253.0281572339443,0.0050123773304476815,259.38378891295537,0.003107349166737494,275.2657028056608,0.010552131839391299
42,2.6848971229562304,3.4569367259260555,0.01315517050617021,279.1390180998806,0.01315517050617021,250.27463623232154,0.00984031019148901,247.43902873243522,0.004455389403994925,308.5483380886103,0.004411943187509704
43,2.669008670528406,3.3254933431715608,0.01048703642740445,264.46025235088536,0.005452345739250131,218.1169943024739,0.01048703642740445,244.92053083000948,0.004460604960639714,290.7119587797926,0.007404805960572802
44,2.660753608221615,3.1872674028741117,0.010638310616304048,269.30899340201245,0.0016985259562098953,234.68838110680147,0.010638310616304048,228.36304108696402,0.006234144433223787,290.3929414116158,0.008051104876643067
45,2.637096288050641,3.195086324346476,0.0053347664919347615,244.54592063659206,0.0053347664919347615,232.92136463731188,0.003464741246321068,234.46758083392552,0.0017961560515719066,283.8202669313045,0.00431584989509437
46,2.6216513127389227,3.4636209576356114,0.009404332283694972,257.58072620550416,0.009404332283694972,247.42946835734747,0.004764587973812906,229.96766341816956,0.005019431215182446,256.22608189218755,0.004070079325681375
47,2.6517252190264946,3.415725351102079,0.006160704237086478,261.6796469193232,0.006160704237086478,247.44448766699682,0.002753482368746063,247.12066956113608,0.0025455031468529232,296.5985412742459,0.005332385853324351
48,2.6346123331255997,3.2813527147005486,0.00817855553040392,248.47391252390085,0.00817855553040392,247.9390142361833,0.006808452394873155,219.32893033611683,0.0032220395817268432,262.2101112129479,0.0026539914535931297
49,2.6334096004745846,3.4498202281861183,0.006751002866446032,258.03563926876166,0.006751002866446032,232.64211775076072,0.004704657079777963,230.64014126432843,0.005165366038893782,294.984932577306,0.0020213382571253047
50,2.6482283208046296,3.3065051694083785,0.008082819009199826,258.667151701088,0.0038557062297261135,249.91459752260033,0.008082819009199826,232.29018568145256,0.002849825634994807,284.8719986669009,0.007272361577681186
51,2.6449361912006237,3.5242904131266006,0.005794977377101551,261.0436218550924,0.005219332448646474,257.31073619248536,0.005678161718928099,240.21527870129938,0.005354747114835523,255.515180314411,0.005794977377101551
52,2.6401010601805655,3.357022936737459,0.002933959295388422,256.0353114314301,0.002933959295388422,240.9529843650668,0.0009218673334339678,241.8469105579723,0.0026063324135749966,281.1278497352558,0.001662547141046078
53,2.6639408848061845,3.6249549245791406,0.005096420549910996,300.4316677005357,0.004516437980916166,266.7675360429441,0.005096420549910996,238.28324902558467,0.0025746138443624167,294.0794125174678,0.004329451953847485
54,2.6635358771447692,3.5235211289371704,0.008656820007839405,275.32703362833513,0.004197437058030884,262.52551078497595,0.004664496146379649,260.29471443221223,0.008656820007839405,261.56533539341234,0.007479116989808632
